"locus","post_stat_lower","post_stat_med","post_stat_upper","post_stat_mean"
"Pf3D7_12_v3-233418-233671-1A",0.452474452358486,0.547945266555976,0.628162806710075,0.546800229524352
"Pf3D7_12_v3-529495-529767-1A",0.73686032731609,0.785931795728943,0.817196042666963,0.784033934062352
"Pf3D7_12_v3-63081-63314-1A",0.609133603433748,0.67216527696483,0.71591325269254,0.66828896808995
"Pf3D7_12_v3-659881-660127-1A",0.712399189579127,0.775070091448661,0.831801953780318,0.774153923767835
"Pf3D7_12_v3-684011-684240-1A",0.620328152092483,0.677218434255059,0.729153109369898,0.675816773022919
"Pf3D7_12_v3-857050-857323-1A",0.370648802909352,0.441990929806033,0.497439239171408,0.439951387422546
"Pf3D7_13_v3-1004740-1005002-1A",0.522777811685227,0.616220084150258,0.680808825266569,0.612198235986435
"Pf3D7_13_v3-1146764-1147010-1A",0.248734150689634,0.331873314294363,0.414480577394706,0.331132073112159
"Pf3D7_13_v3-1233093-1233332-1A",0.456727414232398,0.493006279889147,0.501562534103306,0.489480766063105
"Pf3D7_13_v3-1265494-1265726-1A",0.813226456123297,0.834240304030735,0.849690738749212,0.833681898707243
"Pf3D7_13_v3-1350855-1351093-1A",0.453729584692366,0.48993618609185,0.499952618146083,0.485947738599409
"Pf3D7_13_v3-1406713-1406975-1A",0.285434874527329,0.364355599687898,0.437299994361522,0.363881890804219
"Pf3D7_13_v3-1419363-1419626-1A",0.693467124205466,0.730993517621154,0.768366066788815,0.731876278934435
"Pf3D7_13_v3-1465616-1465890-1A",0.872657442106964,0.894653029224645,0.909466305837092,0.892686889475121
"Pf3D7_13_v3-1465901-1466157-1A",0.686842123169764,0.735700142120454,0.774569331479216,0.733902500431626
"Pf3D7_13_v3-146695-146934-1A",0.634051893474645,0.671785569777355,0.702697898080255,0.670756097508601
"Pf3D7_13_v3-156456-156685-1A",0.475238964974388,0.497656467100688,0.499990528228757,0.494704984857814
"Pf3D7_13_v3-156713-156986-1A",0.517782013266146,0.550608752049344,0.587726893462028,0.55109893536457
"Pf3D7_13_v3-1876391-1876664-1A",0.398255005649902,0.47378220341408,0.534286857264551,0.471267177364591
"Pf3D7_13_v3-2114242-2114482-1A",0.494904191970902,0.588194974860462,0.677747535983871,0.586830345764228
"Pf3D7_13_v3-2114829-2115090-1A",0.553168089737648,0.612380060412824,0.648936709110948,0.609757414656729
"Pf3D7_13_v3-2545065-2545291-1A",0.742418747288024,0.784054930066877,0.814510137114641,0.782092972902678
"Pf3D7_13_v3-388138-388408-1A",0.0440599683165841,0.0985442354273736,0.180594956973689,0.101440213714821
"Pf3D7_13_v3-479569-479811-1A",0.472159700400994,0.540751955891878,0.597872633562832,0.538665704747765
"Pf3D7_13_v3-815862-816091-1A",0.603944388287315,0.661449439443958,0.704708785341718,0.659294400262962
"Pf3D7_13_v3-852647-852921-1A",0.613180806517203,0.669285486545057,0.720176407420389,0.668681292916232
"Pf3D7_13_v3-911757-912005-1A",0.333006588516515,0.420188409435371,0.505110862915182,0.419456652101153
"Pf3D7_14_v3-1038300-1038538-1A",0.641351643175873,0.685240689434753,0.718389718730794,0.68327943003053
"Pf3D7_14_v3-106867-107115-1A",0.495240188411119,0.522148380963702,0.554764573287141,0.523302812783666
"Pf3D7_14_v3-1166107-1166371-1A",0.581094174787566,0.622789418933714,0.661119964636562,0.622499243776076
"Pf3D7_14_v3-120101-120365-1A",0.479843640913324,0.555043473408985,0.61407065537398,0.552234115393728
"Pf3D7_14_v3-137398-137668-1A",0.421281491217587,0.475721644005002,0.498964790172774,0.471280170813091
"Pf3D7_14_v3-1392837-1393086-1A",0.538821346616591,0.578360276151788,0.620580340666261,0.579167787300146
"Pf3D7_14_v3-1992121-1992370-1A",0.250607793992846,0.351907490460381,0.458157528809193,0.35012450424322
"Pf3D7_14_v3-2004362-2004606-1A",0.44229973192209,0.536141800658347,0.607984170226578,0.532847746867624
"Pf3D7_14_v3-2020604-2020849-1A",0.45386647245862,0.511628723991932,0.562409679448269,0.510248171260258
"Pf3D7_14_v3-2260533-2260765-1A",0.504388756310972,0.567531224494792,0.61504883562088,0.565672191351424
"Pf3D7_14_v3-2355614-2355853-1A",0.480742959269923,0.525168571581454,0.564216698451456,0.524763707634733
"Pf3D7_14_v3-2695837-2696082-1A",0.36848738043433,0.460659286131413,0.534634022599874,0.458046933617715
"Pf3D7_14_v3-2733345-2733593-1A",0.230024109552782,0.311699317457401,0.391904804279677,0.311735862364443
"Pf3D7_14_v3-279563-279833-1A",0.473219636725213,0.544268261690115,0.604955871639424,0.543013049648844
"Pf3D7_14_v3-2858894-2859160-1A",0.484580807606779,0.559930898123694,0.620503840796574,0.558821278693192
"Pf3D7_14_v3-3124416-3124655-1A",0.663099860578507,0.735999647922103,0.794730468439673,0.733199093703259
"Pf3D7_14_v3-3125801-3126073-1A",0.495078882900217,0.576155923642829,0.642596569892261,0.575048168120073
"Pf3D7_14_v3-3214249-3214516-1A",0.417741840051225,0.511469057670164,0.593553155713842,0.51057047418142
"Pf3D7_14_v3-377765-378020-1A",0.615467621503937,0.681076125945201,0.729569291447536,0.678269498693656
"Pf3D7_14_v3-407306-407542-1A",0.69279616939234,0.738765161627575,0.774202446925269,0.737014132600001
"Pf3D7_14_v3-421322-421547-1A",0.405231502734061,0.493657262810978,0.570820352060918,0.492143781309918
"Pf3D7_14_v3-771407-771633-1A",0.713792629545061,0.753674905403745,0.783501735458831,0.752792858887504
"Pf3D7_14_v3-921176-921432-1A",0.757502358307239,0.793373958892198,0.821828676687714,0.791619352038873
