"sample_id","post_effective_coi_lower","post_effective_coi_med","post_effective_coi_upper","post_effective_coi_mean"
"Maz_IM-24-122-DCIU",1.29668238759041,1.39168664813042,1.50525947958231,1.39408883997798
"Maz_IM-24-122-DDAR",1,1,1,1
"Maz_IM-24-122-DHFA",1,1,1,1
"Maz_IM-24-122-DHWT",1,1,1,1
"Maz_IM-24-122-DJLT",1,1,1,1
"Maz_IM-24-122-DMNS",1,1,1,1
"Maz_IM-24-122-DMQN",1.83762995786965,1.92744367942214,1.98075467394665,1.92225681959768
"Maz_IM-24-122-DONS",1,1,1,1
"Maz_IM-24-122-DRRI",3.6592163413763,3.98948889970779,4.32131810188293,3.99000751981139
"Maz_IM-24-122-DTTN",1,1,1,1
"Maz_IM-24-122-DWKN",1,1,1,1
"Maz_IM-24-122-FABY",1,1,1,1
"Maz_IM-24-122-FACH",1,1,1,1
"Maz_IM-24-122-FADH",1,1,1,1
"Maz_IM-24-122-FBDF",1,1,1,1
"Maz_IM-24-122-FCSH",1,1,1,1
"Maz_IM-24-122-FHHB",1,1,1,1
"Maz_IM-24-122-FIHG",1,1,1.14720072448254,1.01679586821795
"Maz_IM-24-122-FJKM",3.45346294641495,3.76111885905266,4.08681877851486,3.76680757275224
"Maz_IM-24-122-GMFM",1,1,1,1
"Muk_IM-23-120-AFIT",1,1,1,1
"Muk_IM-23-120-AOQB",1,1,1,1
"Muk_IM-23-120-ATBC",1.11326752901077,1.17835673689842,1.27021132260561,1.18160141324997
"Muk_IM-23-120-ATSN",1,1,1,1
"Muk_IM-23-120-AVGS",1,1,1,1
"Muk_IM-23-120-AXGV",1.39565760791302,1.50087386369705,1.60335891544819,1.50312410596013
"Muk_IM-23-120-BFIW",1.35898342430592,1.46442958712578,1.57913412898779,1.46635572609305
"Muk_IM-23-120-BHTX",1,1,1,1
"Muk_IM-23-120-BNZQ",1,1,1,1
"Muk_IM-23-120-BXJW",1.31628865152597,1.415407538414,1.51920122653246,1.415847289294
"Muk_IM-23-120-CAJX",1.28350488990545,1.38959035277367,1.4980403766036,1.38922632935643
"Muk_IM-23-120-CBWK",1,1,1,1
"Muk_IM-23-120-CINZ",2.84641249217093,3.24868576228619,3.51145376190543,3.23535188996792
"Muk_IM-23-120-CLQY",1,1,1,1.00006346201897
"Muk_IM-23-120-CVVI",1,1,1,1.00131595033407
"Muk_IM-23-120-DLYC",1,1,1,1
"Muk_IM-23-120-DNPR",1.38248674571514,1.47562110424042,1.57039801031351,1.4755794031322
"Muk_IM-23-120-DTMM",1,1,1,1
"Muk_IM-23-120-DTPF",1.73064318150282,1.91148740053177,2.11464237123728,1.91749196536839
"Muk_IM-23-120-DUWS",1,1,1,1
"Muk_IM-23-120-DWIG",2.12441682964563,2.33269703388214,2.56391310021281,2.33789179843664
"Muk_IM-23-120-DWTL",1.38051558285952,1.48506772518158,1.60501769930124,1.4880619148016
"Muk_IM-23-120-FGSV",1.86051040738821,1.93423244357109,1.98186252336018,1.93202626836346
"Muk_IM-23-120-FJIT",1.78618390858173,1.95417088270187,2.13702166974545,1.95546077901125
"Muk_IM-23-120-FVGH",1,1,1,1
"Muk_IM-23-120-GOFU",1.81711127087474,1.90823302790523,2.17015242576599,1.92107296387479
"Muk_IM-23-120-GQGH",3.66341391503811,3.98448173701763,4.32807267680764,3.99067402130365
"Muk_IM-23-120-GVHL",2.9692242950201,3.22760856151581,3.5405563056469,3.23438918143511
"Muk_IM-23-120-GVZD",1.34344001859426,1.44918817281723,1.56851097419858,1.45077576458454
"Muk_IM-23-120-GYTW",1,1,1,1
"Muk_IM-23-120-HAYS",1,1,1,1
"Muk_IM-23-120-HKXV",1.39855490624905,1.51678974926472,1.63487389832735,1.51583030962944
"Muk_IM-23-120-HNNN",1.60848189368844,1.7247366309166,1.8404281526804,1.72534692821652
"Muk_IM-23-120-HNVS",2.46243362426758,2.67684425413609,2.92577220052481,2.67738922485709
"Muk_IM-23-120-HPOS",2.17972737252712,2.39573985338211,2.61492835581303,2.39774341848493
"Muk_IM-23-120-HYRK",1,1,1,1
"Muk_IM-23-120-IBNC",2.5971904695034,2.82093667984009,3.048566429317,2.81777072545886
"Muk_IM-23-120-INSC",1.84224338829517,2.05370527505875,2.2532077267766,2.05052047349513
"Muk_IM-23-120-JCSB",3.26117290854454,3.57781726121902,3.89628431200981,3.57922442671657
"Muk_IM-23-120-JFXY",1,1,1,1
"Muk_IM-23-120-JGUR",1.42459393441677,1.55584812164307,1.69778715968132,1.55854244279861
"Muk_IM-23-120-JHSR",1.71926833316684,1.82282415777445,1.90692900735885,1.81874884623289
"Muk_IM-23-120-JJDZ",1,1,1,1
"Muk_IM-23-120-JPRR",1.77047868520021,1.87200124561787,1.95293582594022,1.8695365464827
"Muk_IM-23-120-KAYR",1,1,1,1
"Muk_IM-23-120-KIHV",1,1.107526242733,1.17911156117916,1.1026377799511
"Muk_IM-23-120-KJBB",1,1,1,1
"Muk_IM-23-120-KKWL",1,1,1,1
"Muk_IM-23-120-KPZK",1,1,1,1
"Muk_IM-23-120-KSRI",1.88697087615728,2.05950984358788,2.22547918409109,2.05746209132671
"Muk_IM-23-120-KVYX",1,1,1,1
"Muk_IM-23-120-LAPH",1.86956326924264,1.93929521553218,1.98352855145931,1.93584150138823
"Muk_IM-23-120-LDKS",1.93113250732422,2.11452126502991,2.29643671512604,2.11620267927647
"Muk_IM-23-120-LGRX",1.81770272068679,1.91545897722244,1.97141925022006,1.90986252851132
"Muk_IM-23-120-LZFX",1,1,1,1
"Muk_IM-23-120-MCBK",1,1,1,1
"Muk_IM-23-120-MHCH",1.61154140755534,1.73436784744263,1.83570003770292,1.73050488257408
"Muk_IM-23-120-MIUG",1.66718439012766,1.76684964448214,1.86713991388679,1.76728828234971
"Muk_IM-23-120-MRVB",3.73989274892956,4.0746603012085,4.42638229578733,4.0761191139333
"Muk_IM-23-120-MSIC",1.32743946760893,1.43317621946335,1.54505559504032,1.43354939067364
"Muk_IM-23-120-MTOL",1.79765913486481,1.97258228063583,2.16716687381268,1.97317749249935
"Muk_IM-23-120-NDAD",7.95984742045403,8.57852444052696,9.35421850979328,8.59372613069043
"Muk_IM-23-120-NPVB",4.46734207123518,4.91959402710199,5.39906470626593,4.92218650484085
"Muk_IM-23-120-NYRL",1.79546838738024,1.88692545890808,1.96083901925012,1.88463058513775
"Muk_IM-23-120-OCTB",1,1,1,1
"Muk_IM-23-120-ODBS",1.83811544030905,1.92583059519529,1.98105192137882,1.92213794940757
"Muk_IM-23-120-OKBU",1.03382181823254,1.07868811488152,1.14658234417438,1.08223996663094
"Muk_IM-23-120-OQVN",1,1,1,1
"Muk_IM-23-120-OXFO",2.71011187136173,3.00432419776917,3.29579165577888,3.00304554897547
"Muk_IM-23-120-OXUG",1,1,1,1
"Muk_IM-23-120-PRVH",1.7532436221838,1.91538679599762,2.09437189549208,1.91785955685377
"Muk_IM-23-120-PVGK",1,1,1,1.00010539591312
"Muk_IM-23-120-QGSV",1,1,1,1
"Muk_IM-23-120-QIII",3.73912598490715,4.03802847862244,4.38024178519845,4.04143954608962
"Muk_IM-23-120-QVPS",2.02056998610497,2.19132369756699,2.3708914577961,2.19204500326514
"Muk_IM-23-120-QZKB",1,1,1,1
"Muk_IM-23-120-RHHW",1.39771803319454,1.50536599755287,1.612053604424,1.50494155079126
"Muk_IM-23-120-RQSL",1.34163167625666,1.45062491297722,1.56861656755209,1.45125607642531
